frame_nmr,vehicle_id,vehicle_bbox,license_plate_bbox,license_plate_bbox_score
172,8,504.35679717737247 628.7455107016572 780.2273047968278 869.0007408179733,590.0689812426297 759.4547579783314 695.2231698665979 831.9407613502359,0
173,8,503.12219169035285 630.5609844478279 779.6499296996826 871.422948733737,589.070743200914 761.6986222177181 694.5174514482607 834.3650409050708,0
174,8,501.8875862033332 632.3764581939986 779.0725546025374 873.8451566495007,588.0725051591982 763.9424864571049 693.8117330299234 836.7893204599056,0
175,8,500.6529807163136 634.1919319401693 778.4951795053921 876.2673645652644,587.0742671174823 766.1863506964918 693.106014611586 839.2136000147406,0
176,8,499.418375229294 636.0074056863401 777.917804408247 878.6895724810282,586.0760290757665 768.4302149358786 692.4002961932488 841.6378795695755,0
177,8,498.1837697422743 637.8228794325108 777.3404293111017 881.1117803967919,585.0777910340507 770.6740791752653 691.6945777749115 844.0621591244104,0
178,8,496.9491642552547 639.6383531786815 776.7630542139565 883.5339883125556,584.0795529923349 772.9179434146521 690.9888593565743 846.4864386792453,0
179,8,495.71455876823507 641.4538269248524 776.1856791168112 885.9561962283194,583.0813149506191 775.161807654039 690.283140938237 848.9107182340802,0
180,8,494.47995328121544 643.2693006710231 775.6083040196661 888.3784041440831,582.0830769089033 777.4056718934257 689.5774225198998 851.3349977889151,0
181,8,493.2453477941958 645.0847744171938 775.0309289225208 890.8006120598468,581.0848388671875 779.6495361328125 688.8717041015625 853.75927734375,0.5398247838020325
182,8,491.64958017318725 647.610063901194 774.3772152202339 894.1701457527329,579.8597120202106 782.7413038170856 687.3313810929009 856.3134792162025,0
183,8,490.05381255217867 650.1353533851944 773.7235015179469 897.539679445619,578.6345851732337 785.8330715013587 685.7910580842391 858.8676810886549,0
184,8,488.45804493117015 652.6606428691947 773.06978781566 900.9092131385052,577.4094583262568 788.9248391856318 684.2507350755775 861.4218829611074,0
185,8,486.8622773101616 655.1859323531951 772.416074113373 904.2787468313912,576.1843314792799 792.0166068699049 682.7104120669158 863.9760848335598,0
186,8,485.266509689153 657.7112218371954 771.7623604110861 907.6482805242773,574.959204632303 795.108374554178 681.1700890582541 866.5302867060122,0
