frame_nmr,vehicle_id,vehicle_bbox,license_plate_bbox,license_plate_bbox_score,license_number,license_number_score
142,3,735.7871616341415 684.6657036273886 1231.2409548485373 1068.405034605295,910.4996337890625 881.19091796875 1066.25146484375 936.2000122070312,0.7131744623184204,D 1805 FP,0.9924975037574768
143,3,735.1699005758195 684.5092187655891 1231.6838429905501 1069.1066467529986,912.6557006835938 880.7464599609375 1063.2716064453125 936.639404296875,0.7594959735870361,D 1805 FP,0.9913118481636048
144,3,734.901402711906 684.1078869594924 1232.333274747038 1069.4379247860834,913.0530395507812 880.601806640625 1062.278076171875 936.6807861328125,0.7387694120407104,D 1805 FP,0.9923499226570128
145,3,734.7616167242663 683.9218056568004 1233.0820780019833 1069.7958810483328,911.7344970703125 881.7859497070312 1064.2987060546875 936.4462280273438,0.7266018986701965,D 1805 FP,0.9988895654678344
146,3,734.5359845556143 683.4163438057599 1233.623187797905 1069.751931836292,910.8515625 882.091552734375 1066.2203369140625 936.3057861328125,0.7099829912185669,D 1805 FP,0.9935179948806764
147,3,734.2911012124451 683.1991028592349 1233.9618811337891 1069.9594508521836,910.943115234375 882.1506958007812 1066.160888671875 936.3012084960938,0.7075585722923279,D 1805 FP,0.9935954213142396
148,3,734.4919546050054 683.3110886772856 1234.8362813549033 1070.2084132215841,911.3886108398438 882.7115478515625 1066.4832763671875 936.47314453125,0.7020260095596313,D 1805 FP,0.9919637441635132
149,3,734.4866507575291 683.4359263108053 1235.4606975334566 1070.2281004536735,910.675048828125 881.5411376953125 1066.99072265625 936.5196533203125,0.7167073488235474,D 1805 FP,0.9828808903694152
150,3,734.181679452942 683.6394545287935 1235.5508863712234 1070.4211141812607,910.5228881835938 880.9169311523438 1068.7596435546875 936.9603881835938,0.7122330069541931,D 1805 FP,0.9845569729804992
151,3,733.9234875421446 683.4413800820713 1235.4982155398477 1069.984051694292,910.6012573242188 880.9061279296875 1068.2264404296875 936.90087890625,0.7037907242774963,D 1805 FP,0.9891828894615172
152,3,734.0101060393822 683.1379526804039 1235.6825389094458 1069.7307444101525,910.5001831054688 880.7338256835938 1068.3544921875 936.8941040039062,0.6917160153388977,D 1805 FP,0.9890695214271544
153,3,734.0445565877199 683.0454555748796 1235.7758156203201 1069.6453384485696,910.4564819335938 880.7353515625 1068.3631591796875 936.8985595703125,0.6909047365188599,D 1805 FP,0.989039182662964
154,3,734.1551954090513 682.4639636802226 1235.636474964766 1069.1629484286,910.6243286132812 880.5025634765625 1068.8255615234375 936.936767578125,0.7147516012191772,D 1805 FP,0.9890515804290771
155,3,734.3468071042244 681.9364752644804 1235.1601333680724 1068.430046025518,911.3106079101562 881.0571899414062 1068.7109375 936.3466186523438,0.7123790979385376,D 1805 FP,0.97544527053833
156,3,734.3088803165426 682.0660275589103 1234.2705506194939 1068.366796678622,912.1607666015625 880.4146728515625 1069.1766357421875 935.6958618164062,0.722511351108551,D 1805 FP,0.9716330766677856
157,3,734.9021797325536 681.8403656375044 1234.0819536990477 1067.7420704672643,912.3587646484375 881.2831420898438 1069.4749755859375 935.4332885742188,0.7221865057945251,D 1805 FP,0.9894595742225648
158,3,735.0488584566106 682.1267977601725 1233.222166192444 1067.567679734052,914.548828125 881.4757690429688 1068.05859375 935.1447143554688,0.7101326584815979,D 1805 FP,0.9890430569648744
159,3,735.4692743276418 682.6514585579041 1232.8248161585827 1067.9760982457374,916.12646484375 881.7608642578125 1068.85107421875 935.1353759765625,0.719114363193512,D 1805 FP,0.9975912570953368
160,3,736.0546810790411 682.6555110819113 1232.759523419589 1068.0246149439417,917.1537475585938 881.879150390625 1070.0528564453125 934.9053955078125,0.7041974067687988,D 1805 FP,0.997215747833252
161,3,736.7708052460051 682.495355518635 1233.2108795497134 1067.779660640306,915.4592895507812 879.8712768554688 1070.8892822265625 934.598388671875,0.7001329064369202,D 1805 FP,0.990329086780548
162,3,737.0159115914096 682.165177807624 1232.605672749965 1067.2874064997054,912.3580322265625 877.0867309570312 1071.228515625 936.0765380859375,0.7092097401618958,D 1805 FP,0.9844709038734436
163,3,737.7250012718267 682.0712944877998 1231.9777060658485 1066.858428454071,912.6346435546875 875.7188110351562 1070.3675537109375 933.5638427734375,0.564770519733429,D 1805 FP,0.9895904660224916
164,3,738.4945471871829 682.4491909413236 1231.202042572567 1066.582781234954,911.73828125 874.9839477539062 1070.3001708984375 934.345703125,0,D 1805 FP,0.9966126084327698
165,3,739.264093102539 682.8270873948476 1230.4263790792854 1066.307134015837,910.8419189453125 874.2490844726562 1070.2327880859375 935.1275634765625,0,D 1805 FP,0.9966126084327698
166,3,740.0336390178952 683.2049838483714 1229.650715586004 1066.03148679672,909.945556640625 873.5142211914062 1070.1654052734375 935.909423828125,0.5050414800643921,D 1805 FP,0.9966126084327698
167,3,740.6097485098618 683.9727630082583 1228.2073990323374 1064.8352722646353,912.4658813476562 873.8692016601562 1068.6617431640625 936.2601928710938,0.6995539665222168,D 1805 FP,0.9970648288726808
168,3,741.7863277440396 683.0530299066193 1227.894680557758 1062.3687108004476,911.6478881835938 876.635986328125 1068.623046875 935.9683837890625,0.6855272054672241,D 1805 FP,0.9978915452957152
169,3,742.6272798884083 683.0747998001398 1227.0228974978143 1060.836308326317,913.2218627929688 882.3239135742188 1069.0859375 936.2140502929688,0.5137850642204285,D 1805 FP,0.986018717288971
170,3,743.567419473871 682.9770440655815 1226.0632954011855 1060.1314683418175,913.0206298828125 870.3330688476562 1068.153076171875 934.9561157226562,0.5579628944396973,D 1805 FP,0.9985280632972716
171,3,744.0250156794682 683.9551787989718 1224.7092480498015 1062.0426602416128,917.8592529296875 870.526611328125 1067.044921875 935.4034423828125,0.7064203023910522,D 1805 FP,0.9984320402145386
172,3,744.5804753240106 685.6392060811763 1223.1061541252277 1065.1190487461954,910.7276000976562 869.9462280273438 1066.39501953125 936.7498779296875,0.7375369668006897,D 1805 FP,0.9989795684814452
173,3,746.0613200820501 686.2478051277185 1222.4222628881698 1066.1884143305545,915.2783203125 874.3613891601562 1068.4669189453125 926.6596069335938,0.6613104343414307,D 1805 FP,0.9797934293746948
174,3,746.8334501936602 686.5741302520834 1221.7828412239255 1067.028362835108,906.6901245117188 869.76123046875 1074.7603759765625 935.6693115234375,0.5445630550384521,D 1805 FP,0.9910221695899964
175,3,748.1787420037736 686.4385439413419 1220.761916392522 1067.031997789924,913.1326904296875 866.59716796875 1072.0701904296875 935.0694580078125,0.6364657878875732,D 1805 FP,0.9964052438735962
176,3,750.1158268684633 685.3258827588822 1220.1590627232576 1063.624002689239,920.2657470703125 863.8566284179688 1072.1407470703125 929.1901245117188,0.506669282913208,D 1805 FP,0.9977903962135316
177,3,751.8144491659631 685.5050385859977 1219.0059623718143 1063.7051237316368,916.5911865234375 864.1014404296875 1075.0242919921875 932.0533447265625,0,D 1805 FP,0.99783194065094
178,3,753.5130714634629 685.6841944131131 1217.8528620203713 1063.7862447740345,912.9166259765625 864.3462524414062 1077.9078369140625 934.9165649414062,0.5315020680427551,D 1805 FP,0.99783194065094
179,3,754.7758789560697 685.8513649605014 1216.6411955530273 1061.921926389046,913.2182653090533 863.2662245806525 1077.1589211856617 933.5486952837775,0,D 1805 FP,0.999106228351593
180,3,756.0386864486766 686.0185355078896 1215.4295290856833 1060.057608004057,913.5199046415441 862.1861967198989 1076.410005457261 932.1808256261489,0,D 1805 FP,0.999106228351593
181,3,757.3014939412834 686.1857060552779 1214.217862618339 1058.1932896190685,913.821543974035 861.1061688591452 1075.6610897288604 930.8129559685202,0,D 1805 FP,0.999106228351593
182,3,758.5643014338903 686.3528766026661 1213.006196150995 1056.3289712340797,914.1231833065258 860.0261409983915 1074.9121740004596 929.4450863108915,0,D 1805 FP,0.999106228351593
183,3,759.827108926497 686.5200471500544 1211.794529683651 1054.4646528490912,914.4248226390165 858.9461131376379 1074.1632582720588 928.0772166532629,0,D 1805 FP,0.999106228351593
184,3,761.0899164191038 686.6872176974427 1210.582863216307 1052.6003344641024,914.7264619715073 857.8660852768842 1073.414342543658 926.7093469956342,0,D 1805 FP,0.999106228351593
185,3,762.3527239117107 686.854388244831 1209.3711967489628 1050.7360160791138,915.0281013039981 856.7860574161305 1072.6654268152574 925.3414773380055,0,D 1805 FP,0.999106228351593
186,3,763.6155314043175 687.0215587922193 1208.1595302816188 1048.871697694125,915.329740636489 855.7060295553769 1071.9165110868566 923.9736076803769,0,D 1805 FP,0.999106228351593
187,3,764.8783388969243 687.1887293396074 1206.9478638142748 1047.0073793091365,915.6313799689798 854.6260016946231 1071.1675953584559 922.6057380227481,0,D 1805 FP,0.999106228351593
188,3,766.1411463895312 687.3558998869958 1205.7361973469308 1045.1430609241477,915.9330193014706 853.5459738338695 1070.418679630055 921.2378683651195,0,D 1805 FP,0.999106228351593
189,3,767.403953882138 687.523070434384 1204.5245308795866 1043.278742539159,916.2346586339614 852.4659459731158 1069.6697639016545 919.8699987074908,0,D 1805 FP,0.999106228351593
190,3,768.6667613747449 687.6902409817723 1203.3128644122426 1041.4144241541703,916.5362979664523 851.3859181123621 1068.9208481732537 918.5021290498621,0,D 1805 FP,0.999106228351593
191,3,769.9295688673516 687.8574115291606 1202.1011979448986 1039.5501057691818,916.837937298943 850.3058902516085 1068.171932444853 917.1342593922335,0,D 1805 FP,0.999106228351593
192,3,771.1923763599584 688.0245820765488 1200.8895314775546 1037.685787384193,917.1395766314338 849.2258623908548 1067.4230167164521 915.7663897346048,0,D 1805 FP,0.999106228351593
193,3,772.4551838525653 688.1917526239371 1199.6778650102103 1035.8214689992044,917.4412159639246 848.1458345301011 1066.6741009880516 914.3985200769761,0,D 1805 FP,0.999106228351593
194,3,773.7179913451721 688.3589231713253 1198.4661985428663 1033.9571506142156,917.7428552964154 847.0658066693475 1065.9251852596508 913.0306504193475,0,D 1805 FP,0.999106228351593
195,3,774.9807988377789 688.5260937187136 1197.2545320755223 1032.092832229227,918.0444946289062 845.9857788085938 1065.17626953125 911.6627807617188,0.6611604690551758,D 1805 FP,0.999106228351593
196,3,775.8119613932627 687.8902819236897 1195.6637840228136 1027.6693640051492,923.252197265625 845.8967895507812 1061.4788818359375 910.9285278320312,0.7773617506027222,D 1805 FP,0.9988612532615662
197,3,776.5550845814669 688.6375101900196 1194.0250042222758 1026.0616823324408,918.533203125 844.579345703125 1065.21240234375 910.1129760742188,0.5653664469718933,D 1805 FP,0.998447597026825
198,3,777.6717702516402 691.1093569629927 1192.5005515321159 1029.0931754702235,925.4300537109375 845.2511596679688 1062.3980712890625 912.09912109375,0.5627595782279968,D 1805 FP,0.9987217783927916
199,3,779.1489349333734 690.1235713270877 1191.129398204828 1024.8849923570158,926.7033952985491 844.0550101143973 1061.0752825055804 908.8457815987723,0,D 1805 FP,0.9978651404380798
200,3,780.6260996151068 689.1377856911826 1189.75824487754 1020.676809243808,927.9767368861607 842.8588605608259 1059.7524937220983 905.5924421037946,0,D 1805 FP,0.9978651404380798
201,3,782.10326429684 688.1520000552775 1188.387091550252 1016.4686261306001,929.2500784737723 841.6627110072544 1058.4297049386162 902.3391026088169,0,D 1805 FP,0.9978651404380798
202,3,783.5804289785734 687.1662144193724 1187.0159382229642 1012.2604430173924,930.523420061384 840.4665614536831 1057.1069161551338 899.0857631138393,0,D 1805 FP,0.9978651404380798
203,3,785.0575936603067 686.1804287834674 1185.6447848956764 1008.0522599041846,931.7967616489956 839.2704119001116 1055.7841273716517 895.8324236188616,0,D 1805 FP,0.9978651404380798
204,3,786.53475834204 685.1946431475623 1184.2736315683883 1003.8440767909768,933.0701032366071 838.0742623465402 1054.4613385881696 892.579084123884,0,D 1805 FP,0.9978651404380798
205,3,788.0119230237733 684.2088575116572 1182.9024782411004 999.635893677769,934.3434448242188 836.8781127929688 1053.1385498046875 889.3257446289062,0.6058937311172485,D 1805 FP,0.9978651404380798
206,3,789.3916797962373 684.5482580511546 1180.6279250423065 994.4231274441647,928.5853271484375 832.871337890625 1064.9710693359375 889.65234375,0.5577117800712585,D 1805 FP,0.9878673553466796
207,3,790.3180962596472 684.7113585580288 1179.7452647286846 993.3360657637203,928.6546359592014 831.9955681694878 1064.550001356337 888.6980421278212,0,D 1805 FP,0.998193383216858
208,3,791.2445127230571 684.874459064903 1178.8626044150626 992.2490040832758,928.7239447699653 831.1197984483507 1064.128933376736 887.7437405056423,0,D 1805 FP,0.998193383216858
209,3,792.170929186467 685.0375595717771 1177.9799441014407 991.1619424028315,928.7932535807291 830.2440287272135 1063.7078653971355 886.7894388834635,0,D 1805 FP,0.998193383216858
210,3,793.0973456498768 685.2006600786514 1177.097283787819 990.0748807223871,928.862562391493 829.3682590060764 1063.2867974175347 885.8351372612847,0,D 1805 FP,0.998193383216858
211,3,794.0237621132867 685.3637605855256 1176.214623474197 988.9878190419427,928.931871202257 828.4924892849392 1062.865729437934 884.880835639106,0,D 1805 FP,0.998193383216858
212,3,794.9501785766967 685.5268610923998 1175.331963160575 987.9007573614982,929.0011800130209 827.6167195638021 1062.4446614583333 883.9265340169271,0,D 1805 FP,0.998193383216858
213,3,795.8765950401065 685.689961599274 1174.449302846953 986.8136956810538,929.0704888237847 826.7409498426649 1062.0235934787327 882.9722323947483,0,D 1805 FP,0.998193383216858
214,3,796.8030115035164 685.8530621061482 1173.566642533331 985.7266340006095,929.1397976345486 825.8651801215278 1061.6025254991318 882.0179307725695,0,D 1805 FP,0.998193383216858
215,3,797.7294279669263 686.0161626130224 1172.6839822197094 984.639572320165,929.2091064453125 824.9894104003906 1061.1814575195312 881.0636291503906,0,D 1805 FP,0.998193383216858
216,3,798.6558444303362 686.1792631198966 1171.8013219060874 983.5525106397206,929.2784152560764 824.1136406792534 1060.7603895399307 880.1093275282118,0,D 1805 FP,0.998193383216858
217,3,799.582260893746 686.3423636267709 1170.9186615924655 982.4654489592762,929.3477240668403 823.2378709581163 1060.3393215603298 879.155025906033,0,D 1805 FP,0.998193383216858
218,3,800.508677357156 686.5054641336451 1170.0360012788435 981.3783872788317,929.4170328776041 822.3621012369791 1059.9182535807292 878.2007242838541,0,D 1805 FP,0.998193383216858
219,3,801.4350938205658 686.6685646405192 1169.1533409652216 980.2913255983874,929.486341688368 821.486331515842 1059.4971856011284 877.2464226616753,0,D 1805 FP,0.998193383216858
220,3,802.3615102839757 686.8316651473934 1168.2706806515996 979.204263917943,929.555650499132 820.6105617947048 1059.0761176215278 876.2921210394966,0,D 1805 FP,0.998193383216858
221,3,803.2879267473855 686.9947656542677 1167.3880203379777 978.1172022374985,929.6249593098959 819.7347920735677 1058.655049641927 875.3378194173177,0,D 1805 FP,0.998193383216858
222,3,804.2143432107955 687.1578661611419 1166.505360024356 977.0301405570541,929.6942681206597 818.8590223524305 1058.2339816623264 874.3835177951389,0,D 1805 FP,0.998193383216858
223,3,805.1407596742054 687.3209666680161 1165.622699710734 975.9430788766097,929.7635769314236 817.9832526312935 1057.8129136827256 873.4292161729601,0,D 1805 FP,0.998193383216858
224,3,806.0671761376152 687.4840671748902 1164.740039397112 974.8560171961653,929.8328857421875 817.1074829101562 1057.391845703125 872.4749145507812,0,D 1805 FP,0.998193383216858
225,3,806.9935926010252 687.6471676817645 1163.85737908349 973.7689555157209,929.9021945529514 816.231713189019 1056.9707777235244 871.5206129286024,0,D 1805 FP,0.998193383216858
226,3,807.920009064435 687.8102681886387 1162.974718769868 972.6818938352765,929.9715033637153 815.355943467882 1056.5497097439236 870.5663113064236,0,D 1805 FP,0.998193383216858
