frame_nmr,vehicle_id,vehicle_bbox,license_plate_bbox,license_plate_bbox_score,license_number,license_number_score
138,3.0,[736.4628026581989 685.2047555604711 1226.2331010065702 1064.891628101237],[911.4638671875 872.133544921875 1067.2236328125 936.0574951171875],0.769591212272644,D 1805 FP,0.9984632134437561
139,3.0,[736.8349785096648 684.4520718162362 1227.8342782335435 1065.7756393292007],[906.8578491210938 873.6948852539062 1067.405029296875 935.9598999023438],0.6238313913345337,D 1805 FP,0.9985830187797546
140,3.0,[736.3540056010236 684.7174637850446 1228.7976427157175 1067.162518414377],[907.1867065429688 880.0570678710938 1071.927734375 935.0297241210938],0.5525182485580444,D 1805 FP,0.9906609654426575
141,3.0,[735.9861727261354 684.8046764882033 1229.955294669379 1067.7425859428633],[909.6824340820312 874.6957397460938 1071.3582763671875 936.8221435546875],0.6227772831916809,D 1805 FP,0.9947293996810913
142,3.0,[735.7871616341415 684.6657036273886 1231.2409548485373 1068.405034605295],[910.4996337890625 881.19091796875 1066.25146484375 936.2000122070312],0.7131744623184204,D 1805 FP,0.9924975037574768
143,3.0,[735.1699005758195 684.5092187655891 1231.6838429905501 1069.1066467529986],[912.6557006835938 880.7464599609375 1063.2716064453125 936.639404296875],0.7594959735870361,D 1805 FP,0.9913118481636047
144,3.0,[734.901402711906 684.1078869594924 1232.333274747038 1069.4379247860834],[913.0530395507812 880.601806640625 1062.278076171875 936.6807861328125],0.7387694120407104,D 1805 FP,0.9923499226570129
145,3.0,[734.7616167242663 683.9218056568004 1233.0820780019833 1069.7958810483328],[911.7344970703125 881.7859497070312 1064.2987060546875 936.4462280273438],0.7266018986701965,D 1805 FP,0.9988895654678345
146,3.0,[734.5359845556143 683.4163438057599 1233.623187797905 1069.751931836292],[910.8515625 882.091552734375 1066.2203369140625 936.3057861328125],0.7099829912185669,D 1805 FP,0.9935179948806763
147,3.0,[734.2911012124451 683.1991028592349 1233.9618811337891 1069.9594508521836],[910.943115234375 882.1506958007812 1066.160888671875 936.3012084960938],0.7075585722923279,D 1805 FP,0.9935954213142395
148,3.0,[734.4919546050054 683.3110886772856 1234.8362813549033 1070.2084132215841],[911.3886108398438 882.7115478515625 1066.4832763671875 936.47314453125],0.7020260095596313,D 1805 FP,0.9919637441635132
149,3.0,[734.4866507575291 683.4359263108053 1235.4606975334566 1070.2281004536735],[910.675048828125 881.5411376953125 1066.99072265625 936.5196533203125],0.7167073488235474,D 1805 FP,0.9828808903694153
149,153.0,[1281.986971205327 858.4494566713496 1493.3286883035705 1059.6675136760778],[1385.565185546875 973.680908203125 1478.76806640625 1054.3099365234375],0.6646959781646729,05855ME,0.8698869347572327
150,153.0,[1273.3585228653699 844.3794731809971 1475.47070439305 1047.8857447797498],[1375.6875 967.9068603515625 1468.8680419921875 1033.71728515625],0.7756204605102539,5955ME,0.9691708087921143
150,3.0,[734.181679452942 683.6394545287935 1235.5508863712234 1070.4211141812607],[910.5228881835938 880.9169311523438 1068.7596435546875 936.9603881835938],0.7122330069541931,D 1805 FP,0.9845569729804993
151,3.0,[733.9234875421446 683.4413800820713 1235.4982155398477 1069.984051694292],[910.6012573242188 880.9061279296875 1068.2264404296875 936.90087890625],0.7037907242774963,D 1805 FP,0.9891828894615173
151,153.0,[1261.5283229816541 836.7908603802762 1459.2878388572426 1053.4893707362085],[1370.684814453125 960.2382202148438 1446.445068359375 1020.2546997070312],0.6311829090118408,5855,0.9100339412689209
152,153.0,[1255.3826306029375 834.2430496857353 1445.9942969779388 1058.4169115097498],[1351.037109375 947.6441040039062 1439.2149658203125 1012.8043823242188],0.7699392437934875,5955ME,0.8242959380149841
152,3.0,[734.0101060393822 683.1379526804039 1235.6825389094458 1069.7307444101525],[910.5001831054688 880.7338256835938 1068.3544921875 936.8941040039062],0.6917160153388977,D 1805 FP,0.9890695214271545
153,153.0,[1254.8378429433442 831.0225129059444 1440.6649235886298 1061.9566254512831],[1350.834228515625 947.6689453125 1439.4063720703125 1012.8651123046875],0.7723992466926575,05855ME,0.8212012052536011
153,3.0,[734.0445565877199 683.0454555748796 1235.7758156203201 1069.6453384485696],[910.4564819335938 880.7353515625 1068.3631591796875 936.8985595703125],0.6909047365188599,D 1805 FP,0.9890391826629639
154,3.0,[734.1551954090513 682.4639636802226 1235.636474964766 1069.1629484286],[910.6243286132812 880.5025634765625 1068.8255615234375 936.936767578125],0.7147516012191772,D 1805 FP,0.9890515804290771
154,153.0,[1251.4214688166037 819.5375482088562 1432.20004886838 1059.8176355241465],[1342.4052734375 941.9324340820312 1424.136962890625 999.9669799804688],0.6065605878829956,5855ME,0.9428653717041016
155,153.0,[1247.992524389026 817.6208316864811 1414.154451857549 1051.2840813448227],[1320.487060546875 924.404296875 1399.242919921875 990.8126220703125],0.7668764591217041,5855 JE,0.6485947370529175
155,3.0,[734.3468071042244 681.9364752644804 1235.1601333680724 1068.430046025518],[911.3106079101562 881.0571899414062 1068.7109375 936.3466186523438],0.7123790979385376,D 1805 FP,0.9754452705383301
156,3.0,[734.3088803165426 682.0660275589103 1234.2705506194939 1068.366796678622],[912.1607666015625 880.4146728515625 1069.1766357421875 935.6958618164062],0.722511351108551,D 1805 FP,0.9716330766677856
157,3.0,[734.9021797325536 681.8403656375044 1234.0819536990477 1067.7420704672643],[912.3587646484375 881.2831420898438 1069.4749755859375 935.4332885742188],0.7221865057945251,D 1805 FP,0.9894595742225647
158,3.0,[735.0488584566106 682.1267977601725 1233.222166192444 1067.567679734052],[914.548828125 881.4757690429688 1068.05859375 935.1447143554688],0.7101326584815979,D 1805 FP,0.9890430569648743
158,153.0,[1240.4727896278512 803.4460634936632 1379.4528503457739 1014.133069885616],[1297.874267578125 901.3846435546875 1373.85205078125 972.017578125],0.578364908695221,58554,0.6986626386642456
159,3.0,[735.4692743276418 682.6514585579041 1232.8248161585827 1067.9760982457374],[916.12646484375 881.7608642578125 1068.85107421875 935.1353759765625],0.719114363193512,D 1805 FP,0.9975912570953369
160,3.0,[736.0546810790411 682.6555110819113 1232.759523419589 1068.0246149439417],[917.1537475585938 881.879150390625 1070.0528564453125 934.9053955078125],0.7041974067687988,D 1805 FP,0.997215747833252
161,3.0,[736.7708052460051 682.495355518635 1233.2108795497134 1067.779660640306],[915.4592895507812 879.8712768554688 1070.8892822265625 934.598388671875],0.7001329064369202,D 1805 FP,0.9903290867805481
162,3.0,[737.0159115914096 682.165177807624 1232.605672749965 1067.2874064997054],[912.3580322265625 877.0867309570312 1071.228515625 936.0765380859375],0.7092097401618958,D 1805 FP,0.9844709038734436
163,3.0,[737.7250012718267 682.0712944877998 1231.9777060658485 1066.858428454071],[912.6346435546875 875.7188110351562 1070.3675537109375 933.5638427734375],0.564770519733429,D 1805 FP,0.9895904660224915
166,3.0,[740.0336390178952 683.2049838483714 1229.650715586004 1066.03148679672],[909.945556640625 873.5142211914062 1070.1654052734375 935.909423828125],0.5050414800643921,D 1805 FP,0.9966126084327698
167,3.0,[740.6097485098618 683.9727630082583 1228.2073990323374 1064.8352722646353],[912.4658813476562 873.8692016601562 1068.6617431640625 936.2601928710938],0.6995539665222168,D 1805 FP,0.9970648288726807
168,3.0,[741.7863277440396 683.0530299066193 1227.894680557758 1062.3687108004476],[911.6478881835938 876.635986328125 1068.623046875 935.9683837890625],0.6855272054672241,D 1805 FP,0.9978915452957153
